ID,Year,Mileage,State,Make,Model
4452,2009,95978," MD",Dodge,Ram
4453,2014,35416," CO",Volkswagen,Jetta
4454,2016,20914," OK",Honda,CivicLX
4455,2014,38726," OH",GMC,Sierra
4456,2015,31939," FL",Ford,EscapeFWD
4457,2017,25995," GA",Chevrolet,MalibuLT
4458,2006,119637," NY",Jeep,Grand
4459,2010,50322," CA",Dodge,Grand
4460,2017,31839," MN",Kia,SorentoLX
4461,2016,30662," NC",Ford,F-1504WD
4462,2015,24302," TX",Chevrolet,Tahoe2WD
4463,2007,64407," NJ",INFINITI,G35
4464,2013,88430," GA",Volkswagen,Jetta
4465,2012,110674," FL",Chrysler,Town
4466,2003,178205," MD",Honda,CR-VEX
4467,2006,167518," GA",Dodge,Ram
4468,2017,4479," AL",Ford,F-150XL
4469,2011,108812," NY",Nissan,Altima4dr
4470,2015,51992," TX",Volkswagen,Jetta
4471,2012,51057," TX",Audi,A8
4472,2016,43409," OR",Ford,FusionSE
4473,2016,40356," TX",GMC,AcadiaFWD
4474,2008,286370," TN",Toyota,Highlander4WD
4475,2011,85417," CO",Chevrolet,Avalanche4WD
4476,2015,39985," NJ",BMW,7
4477,2014,57763," NC",Cadillac,SRXLuxury
4478,2012,30519," SC",Ford,EscapeFWD
4479,2015,88600," TX",Ford,F-1504WD
4480,2011,62698," WA",GMC,Sierra
4481,2016,12566," TX",Toyota,Tacoma2WD
4482,2014,47877," OH",Ford,FocusSE
4483,2012,26728," NY",Nissan,Sentra4dr
4484,2014,32365," PA",Honda,CR-VEX-L
4485,2010,55370," NC",Chevrolet,Camaro2dr
4486,2017,13376," OH",Chevrolet,CruzeSedan
4487,2012,48631," CA",Ford,Focus5dr
4488,2013,65927," PA",Hyundai,TucsonLimited
4489,2012,80934," CO",Hyundai,Santa
4490,2008,91104," GA",Toyota,FJ
4491,2013,64517," CA",Ford,EdgeLimited
4492,2005,178878," TN",Dodge,Ram
4493,2012,114505," MO",Chevrolet,Silverado
4494,2017,12215," TX",Chevrolet,Silverado
4495,2012,100504," FL",Kia,Sedona4dr
4496,2010,86528," MD",Honda,AccordEX-L
4497,2014,84010," WA",Ford,ExplorerLimited
4498,2015,57512," MA",GMC,Sierra
4499,2015,75126," CA",Kia,OptimaLX
4500,2006,114271," TX",Volkswagen,New
4501,2014,21989," MS",Ford,EscapeSE
4502,2015,50380," TX",Chrysler,200Limited
4503,2013,52568," CA",Hyundai,Sonata4dr
4504,2015,22256," PA",Chevrolet,Silverado
4505,2016,10016," KY",Chevrolet,Silverado
4506,2010,22461," MD",Ford,EscapeXLT
4507,2013,75999," IN",Chevrolet,Silverado
4508,2016,7211," MD",GMC,CanyonCrew
4509,2016,8969," OK",Honda,OdysseyEX-L
4510,2017,20345," WA",Ram,25004WD
4511,2017,7846," KY",Buick,LaCrosseFWD
4512,2011,81963," OH",Nissan,Versa4dr
4513,2014,28467," NY",Kia,SorentoLX
4514,2017,23718," TN",GMC,AcadiaFWD
4515,2014,35245," MD",Subaru,Impreza
4516,2009,73021," FL",MINI,Cooper
4517,2002,118028," CO",MINI,Cooper
4518,2017,28094," FL",Toyota,CorollaLE
4519,2012,9417," CA",Honda,Civic
4520,2014,26849," MI",Jeep,Grand
4521,2014,30379," VA",Chevrolet,EquinoxAWD
4522,2015,37089," FL",Toyota,CamrySE
4523,2013,105775," TX",Kia,OptimaEX
4524,2006,100117," MN",Dodge,Ram
4525,2015,50886," MO",Chevrolet,Silverado
4526,2016,31961," TX",Toyota,CorollaLE
4527,2015,49914," GA",Toyota,AvalonXLE
4528,2014,30304," OH",Cadillac,SRXLuxury
4529,2002,122639," CA",Lexus,GS
4530,2015,48648," TX",Honda,Accord
4531,2013,70341," NY",Ford,EdgeLimited
4532,2014,999999," TX",Chevrolet,Silverado
4533,2017,1932," IL",Chevrolet,ImpalaLT
4534,2015,10914," NJ",Mercedes-Benz,C-ClassC300
4535,2016,11504," GA",Toyota,RAV4
4536,2008,82249," MD",Mercedes-Benz,C-Class4dr
4537,2017,27657," DE",Chevrolet,MalibuLT
4538,2011,72676," TX",Volkswagen,Jetta
4539,2015,34862," WA",Honda,CivicEX
4540,2011,96927," TX",Chevrolet,Silverado
4541,2016,23307," CA",Subaru,Impreza
4542,2014,44679," CO",Ford,FiestaSE
4543,2015,13829," NJ",Honda,Accord
4544,2016,8361," CO",Kia,SoulBase
4545,2014,44159," CA",Ford,EdgeSEL
4546,2014,25005," MS",Ford,F-1504WD
4547,2015,17694," NH",Ford,F-150XLT
4548,2017,26434," TX",Dodge,Grand
4549,2011,151004," OK",Chevrolet,Tahoe2WD
4550,2016,25114," TX",Toyota,Tundra
4551,2013,93532," TX",Mercedes-Benz,M-ClassML350
4552,2015,51385," TX",GMC,Sierra
4553,2000,165816," NJ",Jeep,WranglerSport
4554,2014,33132," TX",Kia,OptimaLX
4555,2006,98284," NC",Audi,A34dr
4556,2014,30169," TX",Ford,ExplorerXLT
4557,2008,136975," AR",GMC,AcadiaFWD
4558,2014,21620," FL",Cadillac,CTS
4559,2012,106018," GA",Chrysler,Town
4560,2015,3179," TX",Dodge,Durango2WD
4561,2008,82225," NJ",Acura,TL4dr
4562,2017,21113," NM",Chevrolet,TraverseAWD
4563,2010,68460," OR",Cadillac,EscaladeAWD
4564,2014,40858," NJ",Jeep,Grand
4565,2017,21537," TX",Kia,SedonaLX
4566,2017,12718," VA",Toyota,CamryXLE
4567,2013,50597," GA",Buick,LaCrosseFWD
4568,2010,68112," WA",Honda,CR-V4WD
4569,2016,35609," FL",Chrysler,300300C
4570,2015,42644," WV",Ford,F-150XL
4571,2013,46611," CA",MINI,Cooper
4572,2014,45951," NC",Toyota,CamrySE
4573,2015,37620," MO",Land,Rover
4574,2007,162063," NH",Ford,Expedition4WD
4575,2010,90779," MO",Dodge,Ram
4576,2016,35853," MO",Chevrolet,ColoradoCrew
4577,2015,13671," CA",Toyota,CamryLE
4578,2013,82473," TX",Chevrolet,SonicSedan
4579,2016,5574," MD",Ford,F-150XLT
4580,2014,32462," KY",Nissan,PathfinderS
4581,2014,32336," MA",Honda,CR-VLX
4582,2015,15284," AZ",Ford,ExplorerXLT
4583,2016,38441," TN",Jeep,PatriotLatitude
4584,2017,8365," CA",Lexus,ESES
4585,2009,99428," NC",Ford,EscapeFWD
4586,2015,35166," PA",Dodge,Grand
4587,2017,4070," FL",Mercedes-Benz,C-ClassC
4588,2012,82658," TX",Chevrolet,Avalanche2WD
4589,2015,43219," IN",Kia,OptimaEX
4590,2016,20169," FL",Ford,Transit
4591,2015,80867," TX",Lincoln,Navigator2WD
4592,2014,28280," IN",Honda,Civic
4593,2008,160418," MO",Ford,F-250Lariat
4594,2011,28150," LA",Dodge,Challenger2dr
4595,2005,121074," FL",Honda,OdysseyTouring
4596,2006,147117," AZ",Nissan,Xterra4dr
4597,2007,102979," FL",Honda,PilotLX
4598,2017,22130," FL",Ford,EscapeFWD
4599,2011,54346," IN",Lexus,ES
4600,2012,73357," OK",GMC,Sierra
4601,2015,36229," MA",Toyota,CamryXLE
4602,2015,37630," TX",Toyota,Tacoma4WD
4603,2006,149324," VA",Chevrolet,Colorado2WD
4604,2014,40648," CA",Toyota,CamrySE
4605,2016,17649," FL",Jeep,CompassSport
4606,2015,20426," NJ",Kia,SorentoLX
4607,2014,59768," WI",Subaru,Outback2.5i
4608,2008,35358," TX",Ford,F-150XLT
4609,2016,10292," FL",Toyota,RAV4FWD
4610,2014,62555," GA",Chevrolet,Silverado
4611,2016,3200," MI",Chevrolet,MalibuLT
4612,2017,8359," FL",Chevrolet,CamaroCoupe
4613,2015,23878," OH",Kia,SoulBase
4614,2013,70238," TX",INFINITI,G37
4615,2003,204983," IL",Chevrolet,Tahoe4dr
4616,2013,36032," ID",Buick,EnclaveLeather
4617,2012,127481," CA",Chevrolet,Suburban4WD
4618,2014,66835," OK",Kia,ForteEX
4619,2015,36999," OK",Toyota,CorollaS
4620,2014,40299," LA",Toyota,PriusThree
4621,2011,88742," KS",Chevrolet,Camaro2dr
4622,2014,52510," WA",Volkswagen,Jetta
4623,2012,58603," GA",Hyundai,Santa
4624,2014,39488," FL",Honda,CR-VEX-L
4625,2015,61930," FL",Toyota,AvalonLimited
4626,2007,120067," OH",GMC,Sierra
4627,2016,11741," PA",Subaru,Impreza2.0i
4628,2015,13346," MN",Volkswagen,Golf
4629,2015,7138," UT",Toyota,HighlanderFWD
4630,2005,121594," CO",Toyota,RAV44dr
4631,2017,21055," FL",Toyota,CamrySE
4632,2017,19594," MN",GMC,Yukon4WD
4633,2016,19833," CA",Lexus,RX
4634,2015,4858," WI",Cadillac,CTS
4635,2014,41392," FL",Buick,LaCrosseFWD
4636,2014,26805," TX",Honda,CivicEX
4637,2014,54198," SD",GMC,Sierra
4638,2017,31618," CA",Chevrolet,TraverseFWD
4639,2014,74156," MT",Chevrolet,Silverado
4640,2016,29944," AZ",Ford,EscapeFWD
4641,2014,40211," NV",Chevrolet,Silverado
4642,2008,39890," CA",Porsche,Boxster2dr
4643,2015,36825," FL",Honda,Accord
4644,2003,32160," CA",INFINITI,G35
4645,2014,26584," IL",Jeep,PatriotSport
4646,2012,95367," LA",GMC,Sierra
4647,2013,73088," PA",Ford,FocusSE
4648,2014,35704," PA",Ford,ExplorerXLT
4649,2011,100022," VA",Jeep,Wrangler
4650,2009,74799," IL",Honda,CR-V4WD
4651,2015,51778," OH",Toyota,CorollaS
4652,2016,40447," WA",Chrysler,200Limited
4653,2014,40697," WI",Dodge,JourneySXT
4654,2012,57292," TX",Chevrolet,TraverseFWD
4655,2014,37362," PA",Toyota,AvalonLimited
4656,2012,41188," CA",Honda,Accord
4657,2017,21695," NC",Ford,Explorer4WD
4658,2014,51971," WA",GMC,Sierra
4659,2011,59781," AZ",Volvo,C702dr
4660,2017,14048," PA",Dodge,ChargerSXT
4661,2014,35093," CA",Volkswagen,Passat4dr
4662,2017,2848," WA",Toyota,Yaris
4663,2017,26706," NY",Kia,SportageLX
4664,2003,129338," OH",Ford,F-250XLT
4665,2012,86394," RI",Kia,Optima4dr
4666,2015,53522," TX",Kia,OptimaLX
4667,2010,81471," TX",Toyota,Corolla4dr
4668,2016,16761," TX",Volkswagen,Tiguan2WD
4669,2015,68089," NY",GMC,Sierra
4670,2012,192270," CA",Ford,Super
4671,2004,167099," CO",Chevrolet,Suburban4dr
4672,2007,37058," NY",Nissan,MuranoAWD
4673,2011,55930," IN",Lexus,RX
4674,2008,196335," FL",Ford,F-1504WD
4675,2014,39199," IL",GMC,AcadiaAWD
4676,2014,33898," NC",Toyota,PriusTwo
4677,2013,55626," CA",Ford,ExplorerXLT
4678,2006,74807," MA",Honda,CR-V2WD
4679,2011,65837," CT",Mazda,Mazda34dr
4680,2016,27436," OK",Ford,EscapeFWD
4681,2001,146553," OR",Ford,F-250Lariat
4682,2012,153333," NJ",Ram,15004WD
4683,2012,105084," MD",Ford,EscapeLImited
4684,2015,23501," AR",Lexus,RX
4685,2014,38212," NJ",Honda,CR-VLX
4686,2003,86873," VT",Honda,PilotEX
4687,2016,39442," OR",Jeep,CherokeeLimited
4688,2017,32179," MI",Chevrolet,MalibuLT
4689,2015,18043," IL",Subaru,Outback2.5i
4690,2012,45766," NJ",Ford,Fusion4dr
4691,2014,36342," TX",Toyota,CamrySE
4692,2016,11501," WI",Toyota,RAV4LE
4693,2015,43899," AZ",Kia,SoulBase
4694,2009,65325," TX",Hyundai,Santa
4695,2014,40967," FL",Ford,ExpeditionLimited
4696,2015,19378," PA",Chevrolet,ColoradoCrew
4697,2015,31105," IL",Toyota,CorollaLE
4698,2015,44990," VA",Chevrolet,MalibuLS
4699,2013,19694," OH",Ford,F-150SuperCrew
4700,2016,10829," CA",Honda,Accord
4701,2017,25252," MA",Chevrolet,ImpalaLT
4702,2015,34147," NY",Hyundai,SonataLimited
4703,2012,71963," VA",Volkswagen,CC4dr
4704,2006,172312," FL",Toyota,Sienna5dr
4705,2012,97400," TX",Ram,15002WD
4706,2014,58248," CO",Jeep,Wrangler
4707,2016,17135," MI",Chrysler,Town
4708,2012,76616," CA",Toyota,RAV4Base
4709,2017,30622," CA",Chevrolet,MalibuLT
4710,2007,84705," OK",GMC,Sierra
4711,2008,112401," IL",Chevrolet,Express
4712,2017,22859," LA",Jeep,CherokeeLimited
4713,2009,17644," NC",INFINITI,G37
4714,2011,26150," AZ",Toyota,Tundra
4715,2016,33625," GA",Honda,OdysseyTouring
4716,2017,17507," AZ",Ram,1500Laramie
4717,2011,91255," TX",Toyota,SiennaXLE
4718,2016,11920," KY",Honda,Accord
4719,2007,136372," CT",Chevrolet,Silverado
4720,2014,34187," GA",Chevrolet,Silverado
4721,2016,29645," AZ",Kia,OptimaLX
4722,2008,80000," CA",BMW,3
4723,2016,11224," AZ",Hyundai,Elantra4dr
4724,2011,126532," MD",Chevrolet,Suburban4WD
4725,2014,36306," IN",Cadillac,SRXLuxury
4726,2015,20173," WI",Ford,F-150XLT
4727,2016,11612," NV",BMW,3
4728,2014,32188," FL",Honda,AccordLX
4729,2012,94583," CO",Mazda,Mazda64dr
4730,2006,62313," TX",Mazda,MX5
4731,2014,28605," NH",Hyundai,Elantra
4732,2017,35241," CO",Kia,SorentoLX
4733,2012,84134," OH",Honda,Pilot4WD
4734,2012,110394," AZ",Honda,Pilot4WD
4735,2011,40365," TX",Toyota,Camry4dr
4736,2007,102907," OH",Pontiac,G64dr
4737,2016,34488," AZ",Chevrolet,CruzeLT
4738,2015,5097," IL",Chevrolet,CorvetteCoupe
4739,2011,94129," NE",Honda,Pilot4WD
4740,2017,43615," UT",Kia,SportageAWD
4741,2017,33168," TX",Kia,SportageAWD
4742,2011,66502," IN",Hyundai,Sonata4dr
4743,2014,36106," AZ",Ford,Super
4744,2013,75099," NM",Chevrolet,Silverado
4745,2014,54075," NY",Cadillac,SRXLuxury
4746,2012,68074," AL",Ford,Focus5dr
4747,2014,30609," MI",Honda,CR-VEX
4748,2013,58567," FL",Ford,F-150Lariat
4749,2015,89921," IL",Chevrolet,Suburban4WD
4750,2012,115158," GA",Chevrolet,TraverseFWD
4751,2014,33737," ME",Cadillac,SRXLuxury
4752,2017,26565," IL",Kia,Sportage2WD
4753,2010,108360," MN",Honda,Accord
4754,2015,23854," TX",GMC,TerrainFWD
4755,2017,11656," TX",Chevrolet,CruzeSedan
4756,2007,83898," CA",Dodge,Ram
4757,2016,26881," TX",Ford,F-150XLT
4758,2015,9730," VA",Kia,OptimaLX
4759,2015,34761," NJ",Honda,OdysseyEX-L
4760,2016,8460," MO",Lincoln,MKXFWD
4761,2004,247172," NC",Chevrolet,Express
4762,2016,27888," OH",Nissan,MuranoAWD
4763,2010,49444," WA",Lexus,IS
4764,2014,52831," NY",Chevrolet,EquinoxFWD
4765,2015,19007," IL",Honda,Civic
4766,2014,53231," GA",FIAT,500Pop
4767,2016,13157," NJ",Volkswagen,Jetta
4768,2015,43361," NJ",Chrysler,200S
4769,2016,18463," NY",GMC,TerrainAWD
4770,2005,205567," GA",Ford,Super
4771,2017,31824," TX",Chevrolet,Suburban2WD
4772,2017,21056," IL",Ford,ExpeditionLimited
4773,2004,245252," CO",Chevrolet,Silverado
4774,2009,90700," CT",INFINITI,G37
4775,2013,80373," CA",Cadillac,Escalade
4776,2014,92526," FL",Dodge,Grand
4777,2016,38235," NC",Kia,OptimaLX
4778,2017,10418," AR",GMC,AcadiaFWD
4779,2016,31213," TN",Ford,F-1504WD
4780,2010,76419," SC",Volkswagen,Jetta
4781,2012,135638," UT",Ford,F-1504WD
4782,2016,11005," NC",Chrysler,200Limited
4783,2008,118117," TN",Toyota,TacomaBase
4784,2016,10657," AR",Chevrolet,Silverado
4785,2014,33604," NJ",Toyota,CamryLE
4786,2015,29088," NH",Ford,F-1504WD
4787,2004,159466," IL",Toyota,Sienna5dr
4788,2013,34345," MD",Toyota,CamryXLE
4789,2015,93946," CA",Chevrolet,Silverado
4790,2013,62695," GA",Kia,SportageLX
4791,2009,122134," IN",Dodge,JourneyFWD
4792,2015,67477," WA",Toyota,CamryXLE
4793,2015,35840," MO",Honda,Civic
4794,2014,28767," NH",Lexus,IS
4795,2015,41205," FL",Volkswagen,Passat4dr
4796,2013,26919," FL",Ford,Transit
4797,2008,89378," VA",Toyota,TundraSR5
4798,2008,108743," NC",Dodge,Ram
4799,2017,28428," TX",Dodge,Grand
4800,2012,53154," FL",Chevrolet,Silverado
4801,2013,67778," MI",Kia,ForteLX
4802,2016,15102," CO",Jeep,CompassLatitude
4803,2016,38920," CO",Jeep,CherokeeLimited
4804,2013,98725," FL",Ford,Econoline
4805,2013,33985," VA",Honda,CR-VEX
4806,2013,59354," NC",Jeep,Wrangler
4807,2013,59219," FL",Volvo,XC60T6
4808,2015,36251," VT",Ford,Super
4809,2014,35477," PA",Honda,CR-VLX
4810,2012,40535," AZ",Nissan,Sentra4dr
4811,2008,93039," PA",Buick,LaCrosse4dr
4812,2015,2997," NH",Toyota,CorollaLE
4813,2012,77903," OH",Hyundai,Sonata4dr
4814,2014,33410," NE",Toyota,RAV4XLE
4815,2013,75125," TX",Honda,CR-VEX-L
4816,2016,51079," MN",Toyota,CamrySE
4817,2014,53908," AL",Toyota,CamryL
4818,2015,43451," TX",Dodge,Durango2WD
4819,2017,24700," UT",Kia,SedonaLX
4820,2017,26524," FL",Hyundai,Santa
4821,2010,67961," IN",Toyota,RAV44WD
4822,2010,75301," MI",Ford,Fusion4dr
4823,2015,35434," MO",Chevrolet,CorvetteCoupe
4824,2012,78868," CO",Jeep,LibertySport
4825,2017,1636," MD",Chevrolet,CamaroConvertible
4826,2011,78530," PA",Ford,Escape4WD
4827,2008,77377," VT",Toyota,Tundra
4828,2014,70906," PA",Acura,MDXAWD
4829,2012,77853," VA",Hyundai,Elantra
4830,2015,34981," PA",Nissan,MuranoAWD
4831,2014,49437," FL",Ford,ExplorerLimited
4832,2015,21935," CA",GMC,CanyonCrew
4833,2010,93343," OK",Ford,Fusion4dr
4834,2016,26235," FL",Ford,FusionSE
4835,2015,51117," KY",Ford,EscapeSE
4836,2014,97260," KY",Ford,EscapeSE
4837,2014,20937," IL",Chevrolet,EquinoxFWD
4838,2009,123652," NC",Jeep,Wrangler
4839,2014,38290," PA",Jeep,Grand
4840,2015,27509," TX",Hyundai,Santa
4841,2012,77454," NC",Ford,F-1504WD
4842,2014,31653," MD",Chevrolet,Silverado
4843,2015,9271," WI",Dodge,ChargerSXT
4844,2016,35237," ME",Chrysler,200Limited
4845,2015,36067," NC",Ford,F-250XL
4846,2016,25023," TX",Toyota,Tundra
4847,2015,36521," NC",Land,Rover
4848,2015,29931," FL",Ford,ExplorerXLT
4849,2015,18640," NC",Nissan,Armada4WD
4850,2014,46847," IL",Subaru,Impreza2.0i
4851,2008,123809," CA",Volkswagen,Jetta
4852,2014,32967," NC",GMC,AcadiaAWD
4853,2014,51633," KS",Ford,EdgeSEL
4854,2014,26067," MD",Ford,FusionS
4855,2012,64865," TX",Volkswagen,Jetta
4856,2012,61825," CA",Jeep,Grand
4857,2014,14652," NY",Toyota,RAV4Limited
4858,2014,37614," GA",GMC,AcadiaFWD
4859,2013,42467," AZ",Chevrolet,Silverado
4860,2017,16873," TX",Kia,ForteLX
4861,2008,108525," IL",Hyundai,Santa
4862,2014,29454," NJ",BMW,5
4863,2016,36782," FL",Chrysler,Town
4864,2014,146052," FL",GMC,Sierra
4865,2016,6879," NH",Ford,F-150Lariat
4866,2012,88335," AR",Acura,MDXAWD
4867,2015,38074," GA",Ford,FusionSE
4868,2007,104531," CA",BMW,3
4869,2015,38532," TX",Chevrolet,Silverado
4870,2014,35850," TX",Lexus,IS
4871,2015,53300," CA",GMC,Yukon
4872,2017,12303," NC",Toyota,RAV4XLE
4873,2014,66440," WA",Jeep,CherokeeSport
4874,2014,43901," NY",Jeep,Wrangler
4875,2017,22564," WA",Ford,Explorer4WD
4876,2015,86915," TX",Subaru,Outback2.5i
4877,2017,40442," CO",GMC,TerrainAWD
4878,2012,94731," RI",GMC,Sierra
4879,2008,122045," GA",INFINITI,G35
4880,1998,222270," CO",Toyota,Tacoma4WD
4881,2015,60009," OH",GMC,Sierra
4882,2016,3775," IA",Jeep,Wrangler
4883,2016,32889," TX",Chrysler,300300S
4884,2013,113168," CA",Ford,TaurusSEL
4885,2017,14055," OR",Ford,Escape4WD
4886,2007,100085," WA",Chevrolet,Silverado
4887,2011,76546," PA",Toyota,Camry4dr
4888,2015,38284," AL",Ford,Super
4889,2014,57226," WV",Kia,SedonaLX
4890,2011,52750," FL",Mercedes-Benz,C-Class4dr
4891,2012,121073," NC",Toyota,SequoiaSR5
4892,2017,27421," CA",Kia,SportageLX
4893,2017,20934," CA",Chevrolet,TraverseFWD
4894,2014,87085," TX",Chevrolet,Silverado
4895,2014,31506," FL",Kia,SportageSX
4896,2013,70371," IL",Chrysler,300300C
4897,2014,22350," NC",GMC,AcadiaAWD
4898,2014,71911," GA",Ford,F-1504WD
4899,2013,83822," WV",Ford,EdgeLimited
4900,2014,28679," IL",Honda,CR-VLX
4901,2009,99611," VA",Chevrolet,Silverado
4902,2017,1897," NV",Chevrolet,CruzeSedan
4903,2014,57007," IL",Ford,EscapeSE
4904,2014,36910," TX",Honda,OdysseyEX-L
4905,2013,41355," MA",Land,Rover
4906,2015,20872," NV",Honda,CivicSi
4907,2011,5473," CO",Jeep,Wrangler4WD
4908,2014,44195," GA",Mercedes-Benz,M-ClassML350
4909,2014,30122," IL",GMC,AcadiaAWD
4910,2014,62115," NM",Toyota,Tundra
4911,2016,16915," FL",Kia,OptimaSX
4912,2016,15554," GA",Toyota,Land
4913,2014,87880," MO",Chevrolet,Silverado
4914,2014,90131," AL",Ford,EscapeSE
4915,2012,201002," TX",Honda,Accord
4916,2015,76089," TX",Ford,Super
4917,2006,139058," CA",Honda,CivicLX
4918,2017,15735," FL",Kia,OptimaLX
4919,2009,125399," UT",Pontiac,Vibe4dr
4920,2013,70121," SC",Ford,EdgeSEL
4921,2007,172816," LA",Chevrolet,Silverado
4922,2017,16905," TX",Chevrolet,Silverado
4923,2015,27147," TX",Chevrolet,EquinoxAWD
4924,2016,27071," TX",Volkswagen,Passat4dr
4925,2012,42647," AR",Jeep,Wrangler
4926,2013,48895," NY",Toyota,PriusFour
4927,2016,25565," MD",Ford,Transit
4928,2014,24864," CA",Ford,ExplorerXLT
4929,2014,20606," NJ",Volkswagen,TiguanSE
4930,2015,36374," PA",GMC,Sierra
4931,2007,134607," TX",Ford,Expedition2WD
4932,2007,98393," FL",Chevrolet,Corvette2dr
4933,2011,72396," MA",Honda,CR-V4WD
4934,2016,41092," MD",Honda,CR-VLX
4935,2017,33990," UT",Chrysler,PacificaTouring
4936,2015,65671," UT",Chevrolet,Suburban4WD
4937,2015,10234," SC",Honda,Civic
4938,2010,113975," WA",Ford,F-1504WD
4939,2011,98099," VA",MINI,Cooper
4940,2014,25251," AR",Chevrolet,Suburban4WD
4941,2015,16323," FL",Lexus,IS
4942,2013,67027," GA",Chevrolet,SonicSedan
4943,2012,97616," VA",Honda,CR-VEX
4944,2014,39559," FL",Nissan,PathfinderS
4945,2017,13597," NC",Toyota,CorollaL
4946,2015,75184," NC",Ford,F-1504WD
4947,2016,13789," MA",Mercedes-Benz,E-ClassE350
4948,2012,61372," CO",Ford,F-1504WD
4949,2015,40539," FL",Mercedes-Benz,C-ClassC300
4950,2016,18689," AZ",Honda,Accord
4951,2016,49973," TN",Chevrolet,SonicSedan
4952,2014,41576," MO",Chevrolet,Silverado
4953,2012,110483," IL",Ford,Fusion4dr
4954,2014,43381," FL",Honda,CR-VLX
4955,2013,42070," PA",Buick,LaCrosseAWD
4956,2011,41108," CA",Ford,Super
4957,2015,68246," CA",Kia,SorentoLX
4958,2008,139913," NC",Mercedes-Benz,C-Class4dr
4959,2013,87821," KY",Chevrolet,Silverado
4960,2014,71931," NC",Ford,ExplorerLimited
4961,2015,35283," TX",Honda,Civic
4962,2016,23645," AZ",Toyota,HighlanderFWD
4963,2014,17022," TX",Mercedes-Benz,E-ClassE350
4964,2012,81696," CA",Dodge,Grand
4965,2009,96144," AZ",Nissan,Murano2WD
4966,2009,113800," TX",Honda,Civic
4967,2016,40117," PA",Volkswagen,Passat4dr
4968,2012,83364," NY",Chevrolet,EquinoxFWD
4969,2015,49033," NC",Chevrolet,Silverado
4970,2017,7," NY",Chevrolet,MalibuLT
4971,2016,11161," OH",Chevrolet,Silverado
4972,2015,26658," NC",Honda,Accord
4973,2012,79300," SC",Ram,15002WD
4974,2017,9024," CO",Subaru,Outback2.5i
4975,2010,81160," CA",Honda,CR-VEX
4976,2016,37107," GA",Jeep,CompassLatitude
4977,2014,40179," KY",Honda,Civic
4978,2016,28438," TX",Hyundai,Santa
4979,2013,34949," CO",Subaru,Outback3.6R
4980,2017,27871," CA",Hyundai,Santa
4981,2015,12295," WA",Toyota,Tacoma2WD
4982,2015,22456," FL",Honda,Accord
4983,2008,110481," WA",Chevrolet,Malibu4dr
4984,2012,52981," FL",Land,Rover
4985,2013,22618," NC",Ford,FocusST
4986,2015,26739," VA",Lexus,RX
4987,2014,38040," AZ",Toyota,Prius
4988,2012,100812," TN",Toyota,Prius
4989,2013,85321," MN",Honda,Accord
4990,2017,22815," MS",GMC,AcadiaFWD
4991,2014,34271," FL",Chevrolet,Silverado
4992,2011,113613," GA",Toyota,Sienna5dr
4993,2000,131421," FL",Toyota,Tundra4WD
4994,2014,49862," TX",Ford,EdgeSEL
4995,2015,18075," GA",Honda,AccordEX
4996,2013,56469," AZ",Ford,F-150SuperCrew
4997,2013,28971," WI",Volkswagen,Passat4dr
4998,2009,70731," IA",Chevrolet,Silverado
4999,2013,50748," TX",Hyundai,ElantraLimited
5000,2015,44680," NY",GMC,Yukon4WD
5001,2013,71863," AL",Kia,OptimaLX
5002,2011,78100," VA",Toyota,Prius5dr
5003,2010,106657," IL",Chevrolet,EquinoxAWD
5004,2012,79232," MN",Chevrolet,Suburban4WD
5005,2016,15399," GA",Jeep,Wrangler
5006,2011,57430," FL",Hyundai,Sonata4dr
5007,2015,35142," CT",Nissan,MuranoAWD
5008,2014,97568," TX",Ford,F-1504WD
5009,2012,57197," WI",Ram,35004WD
5010,2016,44351," TX",Ford,Transit
5011,2014,42202," WA",Ford,F-1504WD
5012,2010,60294," AZ",Chevrolet,EquinoxFWD
5013,2014,69000," TX",Jeep,PatriotSport
5014,2015,54215," OH",Chevrolet,EquinoxAWD
5015,2013,51550," GA",Toyota,RAV4XLE
5016,2017,8034," MD",BMW,3
5017,2015,41387," KY",Kia,SorentoLX
5018,2016,23545," OR",Kia,SorentoLX
5019,2015,30779," MA",Toyota,CorollaS
5020,2013,21344," IN",Subaru,Legacy2.5i
5021,2013,68047," MD",Honda,PilotEX-L
5022,2012,82710," TX",Nissan,Quest4dr
5023,2004,128729," NC",Chevrolet,Silverado
5024,2008,79994," WA",Audi,TT2dr
5025,2011,65976," NJ",BMW,5
5026,2011,83896," CA",Nissan,Xterra2WD
5027,2016,18155," NJ",Kia,SorentoSX
5028,2016,45648," TX",Dodge,JourneyFWD
5029,2015,15800," OR",Honda,CivicEX-L
5030,2015,56461," CO",Volkswagen,Jetta
5031,2013,48414," CA",Ford,ExplorerLimited
5032,2017,24224," PA",Jeep,CompassSport
5033,2014,48207," CO",GMC,AcadiaAWD
5034,2016,25621," WA",Ford,ExplorerLimited
5035,2011,129751," OK",Ford,EscapeFWD
5036,2014,28961," MD",Mercedes-Benz,C-ClassC300
5037,2016,14," IL",Mazda,MX5
5038,2012,56730," MD",Cadillac,EscaladeAWD
5039,2012,72461," MI",Ford,FocusSEL
5040,2007,110320," TN",Chevrolet,Silverado
5041,2014,56733," TX",Ford,ExpeditionLimited
